,speciesID,scientificname,family,order,class,subdivision,data,raw.points,extent.xmin,extent.xmax,extent.ymin,extent.ymax,lon_hist,lat_hist,Centrl,rng_size,tmax_wt,tmax_sp,tmax_sm,tmax_at,tmin_wt,tmin_sp,tmin_sm,tmin_at,tave_wt,tave_sp,tave_sm,tave_at,ppt_wt,ppt_sp,ppt_sm,ppt_at,dd_0_wt,dd_0_sp,dd_0_sm,dd_0_at,dd5_wt,dd5_sp,dd5_sm,dd5_at,nffd_wt,nffd_sp,nffd_sm,nffd_at,pas_wt,pas_sp,pas_sm,pas_at,eref_wt,eref_sp,eref_sm,eref_at,cmd_wt,cmd_sp,cmd_sm,cmd_at,mat,mwmt,mcmt,td,map,ahm,dd_0,dd5,nffd,pas,emt,ext,eref,cmd
185,4922,Barbarea macrophylla,Brassicaceae,Brassicales,Magnoliopsida,Spermatophytina,Maxent prediction,17518,-66.50000046,145.9999987,18.49999956,69.49999936,20.2499992,69.24999936,43.99999946,50.9999998,-10.1,-2,10.5,-1.1,-17.4,-9.5,2.8,-6.8,-137,-57,67,-39,156,110,204,159,1242,601,5,457,1,11,216,22,0,0,64,0,154,96,24,142,0,0,156,15,0,0,3,0,-4.2,8.1,-14.5,22.6,628,9.2,2305,250,65,417,-42.3,21.8,171,3
283,585,Acer campestre,Sapindaceae,Sapindales,Magnoliopsida,Spermatophytina,Maxent prediction,108370,-9.500000684,73.49999898,24.99999954,69.49999936,20.2499992,69.24999936,47.24999945,44.49999982,-10.1,-2,10.5,-1.1,-17.4,-9.5,2.8,-6.8,-137,-57,67,-39,156,110,204,159,1242,601,5,457,1,11,216,22,0,0,64,0,154,96,24,142,0,0,156,15,0,0,3,0,-4.2,8.1,-14.5,22.6,628,9.2,2305,250,65,417,-42.3,21.8,171,3
483,728,Achillea crithmifolia,Asteraceae,Asterales,Magnoliopsida,Spermatophytina,Maxent prediction,140,-5.5000007,29.99999916,35.4999995,69.49999936,20.2499992,69.24999936,52.49999943,33.99999986,-10.1,-2,10.5,-1.1,-17.4,-9.5,2.8,-6.8,-137,-57,67,-39,156,110,204,159,1242,601,5,457,1,11,216,22,0,0,64,0,154,96,24,142,0,0,156,15,0,0,3,0,-4.2,8.1,-14.5,22.6,628,9.2,2305,250,65,417,-42.3,21.8,171,3
648,41774,Sisymbrium supinum,Brassicaceae,Brassicales,Magnoliopsida,Spermatophytina,Maxent prediction,906,-5.5000007,36.49999913,41.99999947,69.49999936,20.2499992,69.24999936,55.74999942,27.49999989,-10.1,-2,10.5,-1.1,-17.4,-9.5,2.8,-6.8,-137,-57,67,-39,156,110,204,159,1242,601,5,457,1,11,216,22,0,0,64,0,154,96,24,142,0,0,156,15,0,0,3,0,-4.2,8.1,-14.5,22.6,628,9.2,2305,250,65,417,-42.3,21.8,171,3
1134,3914,Artemisia oelandica,Asteraceae,Asterales,Magnoliopsida,Spermatophytina,Maxent prediction,61,10.99999923,24.49999918,54.99999942,69.49999936,20.2499992,69.24999936,62.24999939,14.49999994,-10.1,-2,10.5,-1.1,-17.4,-9.5,2.8,-6.8,-137,-57,67,-39,156,110,204,159,1242,601,5,457,1,11,216,22,0,0,64,0,154,96,24,142,0,0,156,15,0,0,3,0,-4.2,8.1,-14.5,22.6,628,9.2,2305,250,65,417,-42.3,21.8,171,3
286,31572,Neottia acuminata,Orchidaceae,Asparagales,Liliopsida,Spermatophytina,Maxent prediction,52,72.49999899,174.4999986,20.99999955,64.99999938,163.2499986,64.74999938,42.99999947,43.99999983,-29.1,-12.9,10.7,-10.2,-37.6,-22.6,-0.4,-18.8,-334,-177,52,-145,68,44,162,98,2994,1639,10,1328,0,1,147,5,0,0,15,0,68,43,37,95,0,0,183,0,0,0,34,0,-15.1,6.9,-33.5,40.5,371,-13.8,5971,153,15,243,-57.5,24.9,183,34
390,77,Abies sachalinensis,Pinaceae,Pinales,Pinopsida,Spermatophytina,Maxent prediction,35,128.4999988,174.4999986,26.99999953,64.99999938,163.2499986,64.74999938,45.99999946,37.99999985,-29.1,-12.9,10.7,-10.2,-37.6,-22.6,-0.4,-18.8,-334,-177,52,-145,68,44,162,98,2994,1639,10,1328,0,1,147,5,0,0,15,0,68,43,37,95,0,0,183,0,0,0,34,0,-15.1,6.9,-33.5,40.5,371,-13.8,5971,153,15,243,-57.5,24.9,183,34
245,42200,Sophora flavescens,Fabaceae,Fabales,Magnoliopsida,Spermatophytina,Maxent prediction,123,73.49999898,147.4999987,17.99999957,64.49999938,107.7499988,64.24999938,41.24999948,46.49999981,-28.5,-4.5,17.6,-6.9,-39.8,-18.2,4.7,-16.6,-341,-114,111,-117,42,61,162,94,3067,1105,1,1139,0,8,565,20,0,0,90,0,42,52,3,80,0,0,251,24,0,0,89,0,-11.5,13.8,-36.3,50.1,359,-4.3,5311,593,90,177,-57,32.9,275,89
558,1985,Allium altaicum,Amaryllidaceae,Asparagales,Liliopsida,Spermatophytina,Maxent prediction,34,45.99999909,134.9999987,33.9999995,64.49999938,107.7499988,64.24999938,49.24999944,30.49999988,-28.5,-4.5,17.6,-6.9,-39.8,-18.2,4.7,-16.6,-341,-114,111,-117,42,61,162,94,3067,1105,1,1139,0,8,565,20,0,0,90,0,42,52,3,80,0,0,251,24,0,0,89,0,-11.5,13.8,-36.3,50.1,359,-4.3,5311,593,90,177,-57,32.9,275,89
796,16855,Ephedra dahurica,Ephedraceae,Ephedrales,Gnetopsida,Spermatophytina,Maxent prediction,38,87.49999893,122.4999988,41.49999947,64.49999938,107.7499988,64.24999938,52.99999943,22.99999991,-28.5,-4.5,17.6,-6.9,-39.8,-18.2,4.7,-16.6,-341,-114,111,-117,42,61,162,94,3067,1105,1,1139,0,8,565,20,0,0,90,0,42,52,3,80,0,0,251,24,0,0,89,0,-11.5,13.8,-36.3,50.1,359,-4.3,5311,593,90,177,-57,32.9,275,89
51,34455,Perilla frutescens,Lamiaceae,Lamiales,Magnoliopsida,Spermatophytina,Maxent prediction,492,67.99999901,147.4999987,-9.000000326,62.99999939,140.7499987,62.74999939,26.99999953,71.99999972,-43,-14.1,9.7,-16.9,-51.2,-28.7,-3.6,-26.6,-471,-214,30,-218,37,88,292,111,4229,1975,34,1975,0,1,80,2,0,0,0,0,37,87,121,110,0,0,186,0,0,0,0,0,-21.8,4.9,-48.9,53.8,528,-22.4,8212,83,0,355,-61.9,28.7,186,0
163,39200,Rhamnus utilis,Rhamnaceae,Rosales,Magnoliopsida,Spermatophytina,Maxent prediction,14,87.49999893,147.4999987,8.499999604,62.99999939,140.7499987,62.74999939,35.7499995,54.49999979,-43,-14.1,9.7,-16.9,-51.2,-28.7,-3.6,-26.6,-471,-214,30,-218,37,88,292,111,4229,1975,34,1975,0,1,80,2,0,0,0,0,37,87,121,110,0,0,186,0,0,0,0,0,-21.8,4.9,-48.9,53.8,528,-22.4,8212,83,0,355,-61.9,28.7,186,0
170,25205,Juniperus chinensis,Cupressaceae,Pinales,Pinopsida,Spermatophytina,Maxent prediction,53,91.99999891,156.4999987,9.4999996,62.99999939,140.7499987,62.74999939,36.2499995,53.49999979,-43,-14.1,9.7,-16.9,-51.2,-28.7,-3.6,-26.6,-471,-214,30,-218,37,88,292,111,4229,1975,34,1975,0,1,80,2,0,0,0,0,37,87,121,110,0,0,186,0,0,0,0,0,-21.8,4.9,-48.9,53.8,528,-22.4,8212,83,0,355,-61.9,28.7,186,0
302,3532,Aralia elata,Araliaceae,Apiales,Magnoliopsida,Spermatophytina,Maxent prediction,278,92.99999891,147.4999987,19.99999956,62.99999939,140.7499987,62.74999939,41.49999948,42.99999983,-43,-14.1,9.7,-16.9,-51.2,-28.7,-3.6,-26.6,-471,-214,30,-218,37,88,292,111,4229,1975,34,1975,0,1,80,2,0,0,0,0,37,87,121,110,0,0,186,0,0,0,0,0,-21.8,4.9,-48.9,53.8,528,-22.4,8212,83,0,355,-61.9,28.7,186,0
317,13230,Cypripedium shanxiense,Orchidaceae,Asparagales,Liliopsida,Spermatophytina,Maxent prediction,18,88.99999892,147.4999987,20.99999955,62.99999939,140.7499987,62.74999939,41.99999947,41.99999984,-43,-14.1,9.7,-16.9,-51.2,-28.7,-3.6,-26.6,-471,-214,30,-218,37,88,292,111,4229,1975,34,1975,0,1,80,2,0,0,0,0,37,87,121,110,0,0,186,0,0,0,0,0,-21.8,4.9,-48.9,53.8,528,-22.4,8212,83,0,355,-61.9,28.7,186,0
434,709,Acer ukurunduense,Sapindaceae,Sapindales,Magnoliopsida,Spermatophytina,Maxent prediction,104,118.4999988,156.4999987,26.99999953,62.99999939,140.7499987,62.74999939,44.99999946,35.99999986,-43,-14.1,9.7,-16.9,-51.2,-28.7,-3.6,-26.6,-471,-214,30,-218,37,88,292,111,4229,1975,34,1975,0,1,80,2,0,0,0,0,37,87,121,110,0,0,186,0,0,0,0,0,-21.8,4.9,-48.9,53.8,528,-22.4,8212,83,0,355,-61.9,28.7,186,0
533,69,Abies nephrolepis,Pinaceae,Pinales,Pinopsida,Spermatophytina,Maxent prediction,125,92.99999891,147.4999987,31.49999951,62.99999939,140.7499987,62.74999939,47.24999945,31.49999988,-43,-14.1,9.7,-16.9,-51.2,-28.7,-3.6,-26.6,-471,-214,30,-218,37,88,292,111,4229,1975,34,1975,0,1,80,2,0,0,0,0,37,87,121,110,0,0,186,0,0,0,0,0,-21.8,4.9,-48.9,53.8,528,-22.4,8212,83,0,355,-61.9,28.7,186,0
580,698,Acer tegmentosum,Sapindaceae,Sapindales,Magnoliopsida,Spermatophytina,Maxent prediction,19,118.4999988,147.4999987,32.99999951,62.99999939,140.7499987,62.74999939,47.99999945,29.99999988,-43,-14.1,9.7,-16.9,-51.2,-28.7,-3.6,-26.6,-471,-214,30,-218,37,88,292,111,4229,1975,34,1975,0,1,80,2,0,0,0,0,37,87,121,110,0,0,186,0,0,0,0,0,-21.8,4.9,-48.9,53.8,528,-22.4,8212,83,0,355,-61.9,28.7,186,0
295,28840,Medicago sativa,Fabaceae,Fabales,Magnoliopsida,Spermatophytina,Maxent prediction,24771,-9.000000686,87.49999893,18.49999956,61.99999939,56.74999905,61.74999939,40.24999948,43.49999983,-12.1,5.3,20.4,2.4,-20.4,-5.8,8.9,-4.3,-162,-3,146,-9,132,124,228,199,1465,309,0,354,1,96,888,98,0,3,92,24,132,66,1,134,0,105,273,30,0,19,55,0,-0.7,16.9,-18.1,35,683,13.6,2128,1082,119,333,-43.5,31.6,408,74
380,4210,Astragalus commixtus,Fabaceae,Fabales,Magnoliopsida,Spermatophytina,Maxent prediction,14,25.49999918,96.49999889,23.49999954,61.99999939,56.74999905,61.74999939,42.74999947,38.49999985,-12.1,5.3,20.4,2.4,-20.4,-5.8,8.9,-4.3,-162,-3,146,-9,132,124,228,199,1465,309,0,354,1,96,888,98,0,3,92,24,132,66,1,134,0,105,273,30,0,19,55,0,-0.7,16.9,-18.1,35,683,13.6,2128,1082,119,333,-43.5,31.6,408,74
424,25868,Lathyrus incurvus,Fabaceae,Fabales,Magnoliopsida,Spermatophytina,Maxent prediction,46,21.99999919,87.49999893,24.99999954,61.99999939,56.74999905,61.74999939,43.49999947,36.99999985,-12.1,5.3,20.4,2.4,-20.4,-5.8,8.9,-4.3,-162,-3,146,-9,132,124,228,199,1465,309,0,354,1,96,888,98,0,3,92,24,132,66,1,134,0,105,273,30,0,19,55,0,-0.7,16.9,-18.1,35,683,13.6,2128,1082,119,333,-43.5,31.6,408,74
689,20937,Glechoma hirsuta,Lamiaceae,Lamiales,Magnoliopsida,Spermatophytina,Maxent prediction,103,6.499999252,61.99999903,35.4999995,61.99999939,56.74999905,61.74999939,48.74999945,26.49999989,-12.1,5.3,20.4,2.4,-20.4,-5.8,8.9,-4.3,-162,-3,146,-9,132,124,228,199,1465,309,0,354,1,96,888,98,0,3,92,24,132,66,1,134,0,105,273,30,0,19,55,0,-0.7,16.9,-18.1,35,683,13.6,2128,1082,119,333,-43.5,31.6,408,74
739,25479,Klasea lycopifolia,Asteraceae,Asterales,Magnoliopsida,Spermatophytina,Maxent prediction,43,-5.5000007,61.99999903,37.49999949,61.99999939,56.74999905,61.74999939,49.74999944,24.4999999,-12.1,5.3,20.4,2.4,-20.4,-5.8,8.9,-4.3,-162,-3,146,-9,132,124,228,199,1465,309,0,354,1,96,888,98,0,3,92,24,132,66,1,134,0,105,273,30,0,19,55,0,-0.7,16.9,-18.1,35,683,13.6,2128,1082,119,333,-43.5,31.6,408,74
854,7398,Calophaca wolgarica,Fabaceae,Fabales,Magnoliopsida,Spermatophytina,Maxent prediction,23,21.99999919,87.49999893,40.49999948,61.99999939,56.74999905,61.74999939,51.24999944,21.49999991,-12.1,5.3,20.4,2.4,-20.4,-5.8,8.9,-4.3,-162,-3,146,-9,132,124,228,199,1465,309,0,354,1,96,888,98,0,3,92,24,132,66,1,134,0,105,273,30,0,19,55,0,-0.7,16.9,-18.1,35,683,13.6,2128,1082,119,333,-43.5,31.6,408,74
988,11712,Crataegus karadaghensis,Rosaceae,Rosales,Magnoliopsida,Spermatophytina,Native region,50,21.99999919,61.99999903,43.99999946,61.99999939,56.74999905,61.74999939,52.99999943,17.99999993,-12.1,5.3,20.4,2.4,-20.4,-5.8,8.9,-4.3,-162,-3,146,-9,132,124,228,199,1465,309,0,354,1,96,888,98,0,3,92,24,132,66,1,134,0,105,273,30,0,19,55,0,-0.7,16.9,-18.1,35,683,13.6,2128,1082,119,333,-43.5,31.6,408,74
1006,4520,Avena volgensis,Poaceae,Poales,Liliopsida,Spermatophytina,Native region,50,30.49999916,61.99999903,44.49999946,61.99999939,56.74999905,61.74999939,53.24999943,17.49999993,-12.1,5.3,20.4,2.4,-20.4,-5.8,8.9,-4.3,-162,-3,146,-9,132,124,228,199,1465,309,0,354,1,96,888,98,0,3,92,24,132,66,1,134,0,105,273,30,0,19,55,0,-0.7,16.9,-18.1,35,683,13.6,2128,1082,119,333,-43.5,31.6,408,74
394,1115,Aegilops cylindrica,Poaceae,Poales,Liliopsida,Spermatophytina,Maxent prediction,276,11.99999923,87.49999893,23.49999954,61.49999939,28.74999916,61.24999939,42.49999947,37.99999985,-4.9,7.2,20.2,7,-11.1,-1.2,11.1,1.5,-80,30,157,43,140,113,207,212,748,167,0,100,6,196,980,208,1,29,92,34,128,45,0,47,0,108,253,42,0,37,65,0,3.7,17,-9.2,26.2,671,20.5,1014,1389,156,220,-34.2,30.2,403,102
706,20926,Gladiolus palustris,Iridaceae,Asparagales,Liliopsida,Spermatophytina,Maxent prediction,1308,-5.5000007,40.49999912,35.4999995,61.49999939,28.74999916,61.24999939,48.49999945,25.99999989,-4.9,7.2,20.2,7,-11.1,-1.2,11.1,1.5,-80,30,157,43,140,113,207,212,748,167,0,100,6,196,980,208,1,29,92,34,128,45,0,47,0,108,253,42,0,37,65,0,3.7,17,-9.2,26.2,671,20.5,1014,1389,156,220,-34.2,30.2,403,102
6,13635,Daucus pusillus,Apiaceae,Apiales,Magnoliopsida,Spermatophytina,Maxent prediction,844,-139.5000002,-29.5000006,-56.00000014,60.4999994,-139.2500002,60.2499994,2.24999963,116.4999995,-10.9,1.4,12.3,0,-18.4,-8.9,3.8,-8.1,-147,-38,81,-40,2024,1580,1437,3032,1329,461,3,493,0,18,308,28,0,6,78,10,2016,1386,140,2335,0,51,190,28,0,0,0,0,-3.6,9.3,-16.8,26.1,8073,0.8,2287,353,93,5876,-46.6,25.6,269,0
273,9291,Chondrosum gracile,Poaceae,Poales,Liliopsida,Spermatophytina,Maxent prediction,1550,-139.5000002,-74.00000043,15.49999958,60.4999994,-139.2500002,60.2499994,37.99999949,44.99999982,-10.9,1.4,12.3,0,-18.4,-8.9,3.8,-8.1,-147,-38,81,-40,2024,1580,1437,3032,1329,461,3,493,0,18,308,28,0,6,78,10,2016,1386,140,2335,0,51,190,28,0,0,0,0,-3.6,9.3,-16.8,26.1,8073,0.8,2287,353,93,5876,-46.6,25.6,269,0
296,39984,Salix exigua,Salicaceae,Malpighiales,Magnoliopsida,Spermatophytina,Maxent prediction,610,-139.5000002,-81.5000004,16.99999957,60.4999994,-139.2500002,60.2499994,38.74999949,43.49999983,-10.9,1.4,12.3,0,-18.4,-8.9,3.8,-8.1,-147,-38,81,-40,2024,1580,1437,3032,1329,461,3,493,0,18,308,28,0,6,78,10,2016,1386,140,2335,0,51,190,28,0,0,0,0,-3.6,9.3,-16.8,26.1,8073,0.8,2287,353,93,5876,-46.6,25.6,269,0
338,4212,Astragalus crassicarpus,Fabaceae,Fabales,Magnoliopsida,Spermatophytina,Maxent prediction,628,-139.5000002,-86.00000038,19.49999956,60.4999994,-139.2500002,60.2499994,39.99999948,40.99999984,-10.9,1.4,12.3,0,-18.4,-8.9,3.8,-8.1,-147,-38,81,-40,2024,1580,1437,3032,1329,461,3,493,0,18,308,28,0,6,78,10,2016,1386,140,2335,0,51,190,28,0,0,0,0,-3.6,9.3,-16.8,26.1,8073,0.8,2287,353,93,5876,-46.6,25.6,269,0
339,17451,Escobaria vivipara,Cactaceae,Caryophyllales,Magnoliopsida,Spermatophytina,Maxent prediction,1283,-124.5000002,-89.00000037,19.49999956,60.4999994,-110.2500003,60.2499994,39.99999948,40.99999984,-18.8,1.5,19.4,1.8,-29,-10.9,8.2,-5.8,-239,-47,138,-20,55,57,135,96,2150,649,0,442,0,64,815,90,0,14,90,27,55,38,1,53,0,68,267,32,0,44,131,0,-4.2,15.3,-26.7,42.1,343,16.9,3241,969,132,146,-45.4,34.4,367,175
376,3571,Arbutus menziesii,Ericaceae,Ericales,Magnoliopsida,Spermatophytina,Maxent prediction,5541,-139.5000002,-105.0000003,21.99999955,60.4999994,-139.2500002,60.2499994,41.24999948,38.49999985,-10.9,1.4,12.3,0,-18.4,-8.9,3.8,-8.1,-147,-38,81,-40,2024,1580,1437,3032,1329,461,3,493,0,18,308,28,0,6,78,10,2016,1386,140,2335,0,51,190,28,0,0,0,0,-3.6,9.3,-16.8,26.1,8073,0.8,2287,353,93,5876,-46.6,25.6,269,0
456,4257,Astragalus missouriensis,Fabaceae,Fabales,Magnoliopsida,Spermatophytina,Maxent prediction,325,-139.5000002,-89.00000037,25.49999954,60.4999994,-139.2500002,60.2499994,42.99999947,34.99999986,-10.9,1.4,12.3,0,-18.4,-8.9,3.8,-8.1,-147,-38,81,-40,2024,1580,1437,3032,1329,461,3,493,0,18,308,28,0,6,78,10,2016,1386,140,2335,0,51,190,28,0,0,0,0,-3.6,9.3,-16.8,26.1,8073,0.8,2287,353,93,5876,-46.6,25.6,269,0
457,32518,Opuntia polyacantha,Cactaceae,Caryophyllales,Magnoliopsida,Spermatophytina,Maxent prediction,2366,-120.5000002,-93.50000035,25.49999954,60.4999994,-110.2500003,60.2499994,42.99999947,34.99999986,-18.8,1.5,19.4,1.8,-29,-10.9,8.2,-5.8,-239,-47,138,-20,55,57,135,96,2150,649,0,442,0,64,815,90,0,14,90,27,55,38,1,53,0,68,267,32,0,44,131,0,-4.2,15.3,-26.7,42.1,343,16.9,3241,969,132,146,-45.4,34.4,367,175
584,4226,Astragalus flexuosus,Fabaceae,Fabales,Magnoliopsida,Spermatophytina,Maxent prediction,87,-139.5000002,-89.00000037,30.99999951,60.4999994,-139.2500002,60.2499994,45.74999946,29.49999989,-10.9,1.4,12.3,0,-18.4,-8.9,3.8,-8.1,-147,-38,81,-40,2024,1580,1437,3032,1329,461,3,493,0,18,308,28,0,6,78,10,2016,1386,140,2335,0,51,190,28,0,0,0,0,-3.6,9.3,-16.8,26.1,8073,0.8,2287,353,93,5876,-46.6,25.6,269,0
638,56,Abies grandis,Pinaceae,Pinales,Pinopsida,Spermatophytina,Maxent prediction,695,-139.5000002,-104.0000003,32.49999951,60.4999994,-139.2500002,60.2499994,46.49999946,27.99999989,-10.9,1.4,12.3,0,-18.4,-8.9,3.8,-8.1,-147,-38,81,-40,2024,1580,1437,3032,1329,461,3,493,0,18,308,28,0,6,78,10,2016,1386,140,2335,0,51,190,28,0,0,0,0,-3.6,9.3,-16.8,26.1,8073,0.8,2287,353,93,5876,-46.6,25.6,269,0
663,35954,Platanthera praeclara,Orchidaceae,Asparagales,Liliopsida,Spermatophytina,Maxent prediction,25,-111.5000003,-89.00000037,33.4999995,60.4999994,-102.2500003,60.2499994,46.99999945,26.9999999,-22.6,-4.6,16.4,-1.2,-31.8,-16,6.5,-8.1,-272,-103,115,-46,40,58,152,107,2445,1011,1,604,0,9,603,51,0,2,87,16,40,51,4,68,0,48,232,27,0,23,80,0,-7.7,13.7,-29.9,43.6,357,6.5,4061,663,105,162,-46.4,32.8,307,103
905,26478,Ligusticum canbyi,Apiaceae,Apiales,Magnoliopsida,Spermatophytina,Maxent prediction,57,-139.5000002,-104.0000003,40.49999948,60.4999994,-139.2500002,60.2499994,50.49999944,19.99999992,-10.9,1.4,12.3,0,-18.4,-8.9,3.8,-8.1,-147,-38,81,-40,2024,1580,1437,3032,1329,461,3,493,0,18,308,28,0,6,78,10,2016,1386,140,2335,0,51,190,28,0,0,0,0,-3.6,9.3,-16.8,26.1,8073,0.8,2287,353,93,5876,-46.6,25.6,269,0
946,4256,Astragalus miser,Fabaceae,Fabales,Magnoliopsida,Spermatophytina,Maxent prediction,61,-139.5000002,-104.0000003,41.49999947,60.4999994,-139.2500002,60.2499994,50.99999944,18.99999993,-10.9,1.4,12.3,0,-18.4,-8.9,3.8,-8.1,-147,-38,81,-40,2024,1580,1437,3032,1329,461,3,493,0,18,308,28,0,6,78,10,2016,1386,140,2335,0,51,190,28,0,0,0,0,-3.6,9.3,-16.8,26.1,8073,0.8,2287,353,93,5876,-46.6,25.6,269,0
