"","speciesID","scientificname","family","order","class","subdivision","data","raw.points","extent.xmin","extent.xmax","extent.ymin","extent.ymax","lon_hist","lat_hist","Centrl","rng_size","tmax_wt","tmax_sp","tmax_sm","tmax_at","tmin_wt","tmin_sp","tmin_sm","tmin_at","tave_wt","tave_sp","tave_sm","tave_at","ppt_wt","ppt_sp","ppt_sm","ppt_at","dd_0_wt","dd_0_sp","dd_0_sm","dd_0_at","dd5_wt","dd5_sp","dd5_sm","dd5_at","nffd_wt","nffd_sp","nffd_sm","nffd_at","pas_wt","pas_sp","pas_sm","pas_at","eref_wt","eref_sp","eref_sm","eref_at","cmd_wt","cmd_sp","cmd_sm","cmd_at","mat","mwmt","mcmt","td","map","ahm","dd_0","dd5","nffd","pas","emt","ext","eref","cmd"
"24",19952,"Ficus virens","Moraceae","Rosales","Magnoliopsida","Spermatophytina","Maxent prediction",584,67.99999901,163.4999986,-38.00000021,42.99999947,96.24999889,42.74999947,2.49999963,80.99999968,-3,15,27.9,13,-17.1,-0.4,13.3,-1.8,-100,73,206,56,3,9,41,7,911,80,0,144,3,431,1437,355,0,32,92,30,3,1,0,1,0,221,455,142,0,214,414,136,5.9,21.7,-11.8,33.5,59,268.1,1135,2227,154,4,-40.9,40.3,818,764
"26",46571,"Vitex negundo","Lamiaceae","Lamiales","Magnoliopsida","Spermatophytina","Maxent prediction",164,28.99999916,145.9999987,-27.00000025,53.49999942,120.2499988,53.24999943,13.24999959,80.49999967,-19,4.9,21.7,2.2,-35.2,-12.3,6.5,-12.8,-271,-37,141,-53,16,60,295,74,2442,579,0,702,0,74,843,73,0,0,92,0,16,30,1,34,0,91,343,53,0,58,59,5,-5.5,16,-29.1,45.1,445,10.1,3723,991,92,81,-55,36.5,487,122
"27",12002,"Crotalaria pumila","Fabaceae","Fabales","Magnoliopsida","Spermatophytina","Native region",50,-117.5000003,-45.50000054,-38.00000021,41.99999947,-114.2500003,41.74999947,1.99999963,79.99999968,2.5,12.3,27.3,15.4,-9.5,-2,8.8,-0.4,-35,51,181,75,69,87,76,69,407,71,0,47,5,215,1204,380,3,31,90,43,43,18,0,7,0,239,480,185,0,152,404,118,6.8,20.2,-4.7,24.9,300,56,525,1803,167,69,-35.5,38.9,904,674
"28",30571,"Muhlenbergia arenicola","Poaceae","Poales","Liliopsida","Spermatophytina","Maxent prediction",60,-117.5000003,-61.50000048,-38.00000021,41.49999947,-102.2500003,41.24999947,1.74999963,79.49999968,5,16.2,30,18.6,-10.3,0.1,13.3,1.2,-26,82,216,99,33,165,187,74,347,42,0,27,27,442,1531,554,2,43,92,46,16,8,0,2,0,286,503,210,0,121,316,136,9.3,23.5,-3.9,27.3,459,42,415,2554,182,27,-35.6,40.8,999,573
"29",27254,"Lycium shawii","Solanaceae","Solanales","Magnoliopsida","Spermatophytina","Maxent prediction",72,6.499999252,89.99999892,-31.50000024,47.49999945,11.24999923,47.24999945,7.999999605,78.99999969,2.8,13.5,22.1,13.9,-5.4,2.6,10.9,4,-13,80,165,89,114,169,331,166,264,26,0,25,39,397,1059,464,4,42,92,53,29,2,0,2,0,212,339,129,0,44,16,0,8,17.3,-2.3,19.6,780,23.1,315,1959,190,34,-28.7,31.7,680,60
"32",20011,"Flueggea virosa","Phyllanthaceae","Malpighiales","Magnoliopsida","Spermatophytina","Maxent prediction",2659,-18.00000065,154.4999987,-35.50000022,42.99999947,96.24999889,42.74999947,3.749999625,78.49999969,-3,15,27.9,13,-17.1,-0.4,13.3,-1.8,-100,73,206,56,3,9,41,7,911,80,0,144,3,431,1437,355,0,32,92,30,3,1,0,1,0,221,455,142,0,214,414,136,5.9,21.7,-11.8,33.5,59,268.1,1135,2227,154,4,-40.9,40.3,818,764
"33",15712,"Dumasia villosa","Fabaceae","Fabales","Magnoliopsida","Spermatophytina","Maxent prediction",21,11.99999923,154.4999987,-35.00000022,42.99999947,96.24999889,42.74999947,3.999999625,77.99999969,-3,15,27.9,13,-17.1,-0.4,13.3,-1.8,-100,73,206,56,3,9,41,7,911,80,0,144,3,431,1437,355,0,32,92,30,3,1,0,1,0,221,455,142,0,214,414,136,5.9,21.7,-11.8,33.5,59,268.1,1135,2227,154,4,-40.9,40.3,818,764
"34",8591,"Cenchrus ciliaris","Poaceae","Poales","Liliopsida","Spermatophytina","Maxent prediction",254,-25.50000062,92.99999891,-35.00000022,41.99999947,24.24999918,41.74999947,3.499999625,76.99999969,0.2,8.5,18.9,11.3,-6.5,-0.7,7.7,1.8,-32,39,133,66,189,195,174,146,379,90,0,39,23,174,765,296,3,21,92,34,89,31,1,8,0,146,325,137,0,15,151,39,5.1,14.2,-4.1,18.3,703,21.5,508,1259,150,129,-29.8,29.4,608,205
"37",8971,"Chamaecrista absus","Fabaceae","Fabales","Magnoliopsida","Spermatophytina","Maxent prediction",363,-117.5000003,153.9999987,-35.50000022,39.99999948,44.2499991,39.74999948,2.24999963,75.4999997,-5.2,3.6,17.5,9.1,-14.5,-6.2,3.6,-3.3,-98,-13,105,29,92,209,135,109,899,310,1,142,3,44,523,152,0,0,63,1,89,132,5,46,0,77,336,124,0,0,200,56,0.6,12,-11,23,545,19.4,1353,722,64,272,-38.4,30.7,537,256
"39",40818,"Scleria pergracilis","Cyperaceae","Poales","Liliopsida","Spermatophytina","Maxent prediction",29,-18.00000065,154.4999987,-31.50000024,43.49999946,129.7499988,43.24999947,5.99999961,74.9999997,-6.9,11,24.7,11.8,-19.4,-3,14.5,-0.7,-132,40,196,55,15,97,334,116,1193,184,0,155,1,275,1345,358,0,29,92,30,15,12,0,15,0,191,366,130,0,104,56,30,4,20.9,-15.2,36.1,562,24.9,1532,1978,151,43,-42.6,39.2,687,190
"40",19446,"Faidherbia albida","Fabaceae","Fabales","Magnoliopsida","Spermatophytina","Maxent prediction",142,-18.00000065,63.49999902,-35.00000022,39.99999948,44.2499991,39.74999948,2.49999963,74.9999997,-5.2,3.6,17.5,9.1,-14.5,-6.2,3.6,-3.3,-98,-13,105,29,92,209,135,109,899,310,1,142,3,44,523,152,0,0,63,1,89,132,5,46,0,77,336,124,0,0,200,56,0.6,12,-11,23,545,19.4,1353,722,64,272,-38.4,30.7,537,256
"42",38117,"Pupalia lappacea","Amaranthaceae","Caryophyllales","Magnoliopsida","Spermatophytina","Maxent prediction",47,11.49999923,101.4999989,-35.00000022,38.49999948,70.249999,38.24999949,1.74999963,73.4999997,-1.6,10.3,24.5,13.4,-10.5,0.4,9.5,0.4,-60,54,170,69,263,404,44,107,594,79,0,54,10,265,1106,348,1,31,92,31,210,44,0,10,0,174,434,183,0,0,390,104,5.8,18.2,-7.7,25.9,818,19.3,727,1729,155,265,-33.8,36.5,791,494
"44",1873,"Albizia procera","Fabaceae","Fabales","Magnoliopsida","Spermatophytina","Maxent prediction",38,67.99999901,162.9999986,-35.50000022,37.49999949,74.24999898,37.24999949,0.999999635,72.99999971,-11.3,1.3,16.1,5.2,-19.4,-6.9,4,-5.5,-153,-28,101,-2,22,46,26,13,1385,395,1,276,1,31,478,82,0,0,72,0,22,33,1,7,0,70,313,69,0,52,286,62,-2.1,11.3,-17.3,28.7,108,73.6,2057,592,72,63,-42.9,30.9,452,400
"46",5751,"Bischofia javanica","Phyllanthaceae","Malpighiales","Magnoliopsida","Spermatophytina","Maxent prediction",320,-180,179.9999986,-29.50000024,42.99999947,96.24999889,42.74999947,6.749999615,72.49999971,-3,15,27.9,13,-17.1,-0.4,13.3,-1.8,-100,73,206,56,3,9,41,7,911,80,0,144,3,431,1437,355,0,32,92,30,3,1,0,1,0,221,455,142,0,214,414,136,5.9,21.7,-11.8,33.5,59,268.1,1135,2227,154,4,-40.9,40.3,818,764
"48",24738,"Ipomoea cairica","Convolvulaceae","Solanales","Magnoliopsida","Spermatophytina","Maxent prediction",1767,-18.00000065,142.4999987,-35.00000022,37.49999949,74.24999898,37.24999949,1.249999635,72.49999971,-11.3,1.3,16.1,5.2,-19.4,-6.9,4,-5.5,-153,-28,101,-2,22,46,26,13,1385,395,1,276,1,31,478,82,0,0,72,0,22,33,1,7,0,70,313,69,0,52,286,62,-2.1,11.3,-17.3,28.7,108,73.6,2057,592,72,63,-42.9,30.9,452,400
"49",29177,"Melolobium microphyllum","Fabaceae","Fabales","Magnoliopsida","Spermatophytina","Maxent prediction",145,11.49999923,42.49999911,-35.00000022,37.49999949,40.24999912,37.24999949,1.249999635,72.49999971,11,22.1,37.9,26.8,0.9,8.5,19.9,10.8,60,153,289,188,219,172,2,73,45,4,0,1,250,965,2195,1252,17,84,92,90,3,0,0,0,108,356,644,300,0,184,642,227,17.2,30.5,4.7,25.8,465,58.5,50,4662,283,3,-19,48.4,1408,1053
"50",43782,"Syzygium nervosum","Myrtaceae","Myrtales","Magnoliopsida","Spermatophytina","Maxent prediction",17,67.99999901,138.4999987,-35.50000022,36.99999949,87.74999893,36.74999949,0.749999635,72.49999971,-12.5,-0.7,10.2,-0.4,-26.6,-15,-3.4,-14.8,-195,-78,34,-76,3,15,86,12,1761,764,29,726,0,5,87,10,0,0,0,0,3,14,31,11,0,0,255,0,0,0,170,0,-7.9,4.4,-20.9,25.4,116,18.1,3280,103,0,58,-51,25,255,170
"51",34455,"Perilla frutescens","Lamiaceae","Lamiales","Magnoliopsida","Spermatophytina","Maxent prediction",492,67.99999901,147.4999987,-9.000000326,62.99999939,140.7499987,62.74999939,26.99999953,71.99999972,-43,-14.1,9.7,-16.9,-51.2,-28.7,-3.6,-26.6,-471,-214,30,-218,37,88,292,111,4229,1975,34,1975,0,1,80,2,0,0,0,0,37,87,121,110,0,0,186,0,0,0,0,0,-21.8,4.9,-48.9,53.8,528,-22.4,8212,83,0,355,-61.9,28.7,186,0
"52",19239,"Euphorbia tirucalli","Euphorbiaceae","Malpighiales","Magnoliopsida","Spermatophytina","Maxent prediction",1495,2.499999268,89.99999892,-35.00000022,36.99999949,71.74999899,36.74999949,0.999999635,71.99999971,-11.5,-1.5,12.4,2.8,-19.1,-8.5,1.4,-6.7,-153,-50,69,-19,204,321,72,85,1379,547,6,335,1,13,237,39,0,0,59,0,203,287,8,75,0,0,267,60,0,0,195,45,-3.8,8,-17,25.1,682,9.1,2266,290,59,574,-42.7,27.2,327,240
"53",45116,"Trema orientale","Cannabaceae","Rosales","Magnoliopsida","Spermatophytina","Maxent prediction",813,-176,167.4999986,-35.00000022,36.99999949,87.74999893,36.74999949,0.999999635,71.99999971,-12.5,-0.7,10.2,-0.4,-26.6,-15,-3.4,-14.8,-195,-78,34,-76,3,15,86,12,1761,764,29,726,0,5,87,10,0,0,0,0,3,14,31,11,0,0,255,0,0,0,170,0,-7.9,4.4,-20.9,25.4,116,18.1,3280,103,0,58,-51,25,255,170
"54",1590,"Aglaia bourdillonii","Meliaceae","Sapindales","Magnoliopsida","Spermatophytina","Maxent prediction",60,-173,171.4999986,-35.50000022,36.49999949,113.7499988,36.24999949,0.499999635,71.99999971,3.5,18.7,28.8,17.7,-9.1,5.6,17.6,4.6,-28,121,232,111,17,91,380,134,361,13,0,16,26,714,1673,630,1,58,92,56,7,0,0,0,0,321,450,216,0,230,108,82,10.9,24.4,-4.4,28.8,622,33.6,390,3043,208,8,-32.7,38.7,987,420
"55",16183,"Ehretia obtusifolia","Boraginaceae","Boraginales","Magnoliopsida","Spermatophytina","Maxent prediction",93,11.49999923,101.4999989,-31.50000024,39.99999948,44.2499991,39.74999948,4.24999962,71.49999972,-5.2,3.6,17.5,9.1,-14.5,-6.2,3.6,-3.3,-98,-13,105,29,92,209,135,109,899,310,1,142,3,44,523,152,0,0,63,1,89,132,5,46,0,77,336,124,0,0,200,56,0.6,12,-11,23,545,19.4,1353,722,64,272,-38.4,30.7,537,256
"56",3322,"Antidesma venosum","Phyllanthaceae","Malpighiales","Magnoliopsida","Spermatophytina","Maxent prediction",604,-18.00000065,122.4999988,-35.00000022,36.49999949,113.7499988,36.24999949,0.749999635,71.49999971,3.5,18.7,28.8,17.7,-9.1,5.6,17.6,4.6,-28,121,232,111,17,91,380,134,361,13,0,16,26,714,1673,630,1,58,92,56,7,0,0,0,0,321,450,216,0,230,108,82,10.9,24.4,-4.4,28.8,622,33.6,390,3043,208,8,-32.7,38.7,987,420
"57",40775,"Scleria georgiana","Cyperaceae","Poales","Liliopsida","Spermatophytina","Maxent prediction",8,-107.0000003,-48.00000053,-34.00000023,36.99999949,-103.2500003,36.74999949,1.49999963,70.99999972,9.1,18.7,30.1,20.4,-7.9,1.5,13.7,3.1,6,101,219,118,25,107,196,84,172,21,0,12,66,559,1555,671,5,51,92,57,5,1,0,1,77,336,525,251,59,229,329,167,11.1,23.3,-0.3,23.6,412,51.2,205,2851,204,7,-32.7,40,1189,784
"60",21780,"Grewia asiatica","Malvaceae","Malvales","Magnoliopsida","Spermatophytina","Maxent prediction",33,43.9999991,153.9999987,-29.50000024,39.99999948,44.2499991,39.74999948,5.24999962,69.49999972,-5.2,3.6,17.5,9.1,-14.5,-6.2,3.6,-3.3,-98,-13,105,29,92,209,135,109,899,310,1,142,3,44,523,152,0,0,63,1,89,132,5,46,0,77,336,124,0,0,200,56,0.6,12,-11,23,545,19.4,1353,722,64,272,-38.4,30.7,537,256
"61",21845,"Grewia tenax","Malvaceae","Malvales","Magnoliopsida","Spermatophytina","Maxent prediction",55,-18.00000065,92.99999891,-29.00000025,39.99999948,44.2499991,39.74999948,5.499999615,68.99999973,-5.2,3.6,17.5,9.1,-14.5,-6.2,3.6,-3.3,-98,-13,105,29,92,209,135,109,899,310,1,142,3,44,523,152,0,0,63,1,89,132,5,46,0,77,336,124,0,0,200,56,0.6,12,-11,23,545,19.4,1353,722,64,272,-38.4,30.7,537,256
"63",44335,"Tephrosia pumila","Fabaceae","Fabales","Magnoliopsida","Spermatophytina","Maxent prediction",55,-3.500000708,154.4999987,-31.50000024,37.49999949,74.24999898,37.24999949,2.999999625,68.99999973,-11.3,1.3,16.1,5.2,-19.4,-6.9,4,-5.5,-153,-28,101,-2,22,46,26,13,1385,395,1,276,1,31,478,82,0,0,72,0,22,33,1,7,0,70,313,69,0,52,286,62,-2.1,11.3,-17.3,28.7,108,73.6,2057,592,72,63,-42.9,30.9,452,400
"65",5023,"Barringtonia acutangula","Lecythidaceae","Ericales","Magnoliopsida","Spermatophytina","Maxent prediction",56,60.49999904,154.4999987,-29.50000024,38.49999948,70.249999,38.24999949,4.49999962,67.99999972,-1.6,10.3,24.5,13.4,-10.5,0.4,9.5,0.4,-60,54,170,69,263,404,44,107,594,79,0,54,10,265,1106,348,1,31,92,31,210,44,0,10,0,174,434,183,0,0,390,104,5.8,18.2,-7.7,25.9,818,19.3,727,1729,155,265,-33.8,36.5,791,494
"66",41668,"Silybum marianum","Asteraceae","Asterales","Magnoliopsida","Spermatophytina","Maxent prediction",12997,-31.5000006,89.99999892,2.999999626,69.99999936,30.24999916,69.74999936,36.49999949,66.99999973,-3.6,1.9,12.2,4.2,-10.1,-4.2,6.5,-0.6,-68,-11,94,18,108,76,171,139,655,280,1,156,8,38,412,98,1,1,92,29,92,53,6,64,0,37,149,20,0,9,7,0,0.8,10.8,-7.3,18.2,494,21.9,1093,556,123,215,-34,22.9,206,16
"68",40,"Abelmoschus ficulneus","Malvaceae","Malvales","Magnoliopsida","Spermatophytina","Maxent prediction",34,21.49999919,154.4999987,-29.50000024,37.49999949,74.24999898,37.24999949,3.999999625,66.99999973,-11.3,1.3,16.1,5.2,-19.4,-6.9,4,-5.5,-153,-28,101,-2,22,46,26,13,1385,395,1,276,1,31,478,82,0,0,72,0,22,33,1,7,0,70,313,69,0,52,286,62,-2.1,11.3,-17.3,28.7,108,73.6,2057,592,72,63,-42.9,30.9,452,400
"69",27629,"Macrotyloma uniflorum","Fabaceae","Fabales","Magnoliopsida","Spermatophytina","Maxent prediction",6,-18.00000065,101.4999989,-29.00000025,37.49999949,74.24999898,37.24999949,4.24999962,66.49999974,-11.3,1.3,16.1,5.2,-19.4,-6.9,4,-5.5,-153,-28,101,-2,22,46,26,13,1385,395,1,276,1,31,478,82,0,0,72,0,22,33,1,7,0,70,313,69,0,52,286,62,-2.1,11.3,-17.3,28.7,108,73.6,2057,592,72,63,-42.9,30.9,452,400
"72",9766,"Cleidion javanicum","Euphorbiaceae","Malpighiales","Magnoliopsida","Spermatophytina","Maxent prediction",36,67.99999901,170.4999986,-29.50000024,36.99999949,87.74999893,36.74999949,3.749999625,66.49999973,-12.5,-0.7,10.2,-0.4,-26.6,-15,-3.4,-14.8,-195,-78,34,-76,3,15,86,12,1761,764,29,726,0,5,87,10,0,0,0,0,3,14,31,11,0,0,255,0,0,0,170,0,-7.9,4.4,-20.9,25.4,116,18.1,3280,103,0,58,-51,25,255,170
"73",43674,"Syzygium cumini","Myrtaceae","Myrtales","Magnoliopsida","Spermatophytina","Maxent prediction",97,60.49999904,153.9999987,-29.50000024,36.99999949,71.74999899,36.74999949,3.749999625,66.49999973,-11.5,-1.5,12.4,2.8,-19.1,-8.5,1.4,-6.7,-153,-50,69,-19,204,321,72,85,1379,547,6,335,1,13,237,39,0,0,59,0,203,287,8,75,0,0,267,60,0,0,195,45,-3.8,8,-17,25.1,682,9.1,2266,290,59,574,-42.7,27.2,327,240
"74",7887,"Capparis cartilaginea","Capparaceae","Brassicales","Magnoliopsida","Spermatophytina","Maxent prediction",660,8.999999242,92.99999891,-26.00000026,39.99999948,44.2499991,39.74999948,6.99999961,65.99999974,-5.2,3.6,17.5,9.1,-14.5,-6.2,3.6,-3.3,-98,-13,105,29,92,209,135,109,899,310,1,142,3,44,523,152,0,0,63,1,89,132,5,46,0,77,336,124,0,0,200,56,0.6,12,-11,23,545,19.4,1353,722,64,272,-38.4,30.7,537,256
"75",23362,"Holarrhena pubescens","Apocynaceae","Gentianales","Magnoliopsida","Spermatophytina","Maxent prediction",113,11.99999923,116.4999988,-28.50000025,37.49999949,74.24999898,37.24999949,4.49999962,65.99999974,-11.3,1.3,16.1,5.2,-19.4,-6.9,4,-5.5,-153,-28,101,-2,22,46,26,13,1385,395,1,276,1,31,478,82,0,0,72,0,22,33,1,7,0,70,313,69,0,52,286,62,-2.1,11.3,-17.3,28.7,108,73.6,2057,592,72,63,-42.9,30.9,452,400
"76",45449,"Trisetum bifidum","Poaceae","Poales","Liliopsida","Spermatophytina","Maxent prediction",406,77.99999897,154.4999987,-12.00000031,53.99999942,123.2499988,53.74999942,20.99999956,65.99999973,-18.6,6.2,23.6,3,-33.7,-10.3,9.2,-10.9,-262,-20,164,-40,14,65,274,83,2358,499,0,649,0,126,1050,122,0,1,92,2,14,28,0,32,0,96,355,55,0,60,82,1,-3.9,18.3,-28.2,46.5,436,13.9,3507,1298,95,74,-54,38.5,506,143
"77",1730,"Ailanthus integrifolia","Simaroubaceae","Sapindales","Magnoliopsida","Spermatophytina","Maxent prediction",48,87.49999893,162.9999986,-29.50000024,36.49999949,113.7499988,36.24999949,3.499999625,65.99999973,3.5,18.7,28.8,17.7,-9.1,5.6,17.6,4.6,-28,121,232,111,17,91,380,134,361,13,0,16,26,714,1673,630,1,58,92,56,7,0,0,0,0,321,450,216,0,230,108,82,10.9,24.4,-4.4,28.8,622,33.6,390,3043,208,8,-32.7,38.7,987,420
"80",5035,"Barringtonia racemosa","Lecythidaceae","Ericales","Magnoliopsida","Spermatophytina","Maxent prediction",213,-180,179.9999986,-31.50000024,32.99999951,75.74999898,32.74999951,0.749999635,64.49999975,7.7,17.6,23.2,18.1,-0.9,8,14.9,8.4,34,128,191,132,369,314,680,232,92,7,0,4,144,751,1295,772,10,76,92,81,20,0,0,0,106,289,358,214,0,52,56,44,12.1,19,1.4,17.6,1595,13.9,103,2963,259,20,-22.4,30.9,967,152
"82",40347,"Sauromatum venosum","Araceae","Alismatales","Liliopsida","Spermatophytina","Maxent prediction",27,5.499999256,116.4999988,-27.00000025,37.49999949,74.24999898,37.24999949,5.24999962,64.49999974,-11.3,1.3,16.1,5.2,-19.4,-6.9,4,-5.5,-153,-28,101,-2,22,46,26,13,1385,395,1,276,1,31,478,82,0,0,72,0,22,33,1,7,0,70,313,69,0,52,286,62,-2.1,11.3,-17.3,28.7,108,73.6,2057,592,72,63,-42.9,30.9,452,400
"84",11924,"Crotalaria albida","Fabaceae","Fabales","Magnoliopsida","Spermatophytina","Maxent prediction",263,60.49999904,154.4999987,-26.50000026,37.49999949,74.24999898,37.24999949,5.499999615,63.99999975,-11.3,1.3,16.1,5.2,-19.4,-6.9,4,-5.5,-153,-28,101,-2,22,46,26,13,1385,395,1,276,1,31,478,82,0,0,72,0,22,33,1,7,0,70,313,69,0,52,286,62,-2.1,11.3,-17.3,28.7,108,73.6,2057,592,72,63,-42.9,30.9,452,400
"85",2198,"Allophylus rubifolius","Sapindaceae","Sapindales","Magnoliopsida","Spermatophytina","Maxent prediction",56,11.99999923,59.99999904,-31.50000024,32.49999951,38.74999912,32.24999951,0.499999635,63.99999975,13.6,24.3,35.3,27.1,2.2,10.3,20,12.6,79,173,277,198,53,40,0,28,26,2,0,1,364,1132,2083,1348,28,90,92,91,0,0,0,0,150,405,600,328,97,365,600,300,18.2,28.6,6.7,21.9,121,233.8,29,4927,301,0,-17.8,44.1,1483,1362
"86",7106,"Cadaba farinosa","Capparaceae","Brassicales","Magnoliopsida","Spermatophytina","Maxent prediction",181,-18.00000065,89.99999892,-27.00000025,36.99999949,71.74999899,36.74999949,4.99999962,63.99999974,-11.5,-1.5,12.4,2.8,-19.1,-8.5,1.4,-6.7,-153,-50,69,-19,204,321,72,85,1379,547,6,335,1,13,237,39,0,0,59,0,203,287,8,75,0,0,267,60,0,0,195,45,-3.8,8,-17,25.1,682,9.1,2266,290,59,574,-42.7,27.2,327,240
